72,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128110,16504
73,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128111,16505
74,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128105,16498
75,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128102,16494
76,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128103,16495
77,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128104,16497
78,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_1281,5805
79,ML1_FAM_1,ML2_BP_12,ML3_BP_128,ML4_BP_128109,16503
80,ML1_FAM_1,ML2_BP_12,ML3_BP_123008,ML4_BP_12517008,8434
81,ML1_FAM_1,ML2_BP_12,ML3_BP_123008,ML4_BP_12515008,8425
82,ML1_FAM_1,ML2_BP_17,ML3_BP_172,ML4_BP_1711,6204
83,ML1_FAM_1,ML2_BP_17,ML3_BP_172,ML4_BP_1722,10807
84,ML1_FAM_1,ML2_BP_17,ML3_BP_172,ML4_BP_1729,6129
85,ML1_FAM_1,ML2_BP_17,ML3_BP_172,ML4_BP_1728,6136
86,ML1_FAM_1,ML2_BP_17,ML3_BP_179008,ML4_BP_1796008,10710
87,ML1_FAM_1,ML2_BP_17,ML3_BP_179008,ML4_BP_1794008,10708
88,ML1_FAM_1,ML2_BP_17,ML3_BP_179008,ML4_BP_1791008,10705
89,ML1_FAM_1,ML2_BP_17,ML3_BP_179008,ML4_BP_1792008,10706
90,ML1_FAM_1,ML2_BP_17,ML3_BP_179008,ML4_BP_1793008,10707
91,ML1_FAM_1,ML2_BP_17,ML3_BP_179008,ML4_BP_1795008,10709
92,ML1_FAM_1,ML2_BP_17,ML3_BP_176008,ML4_BP_1762008,10700
93,ML1_FAM_1,ML2_BP_17,ML3_BP_176008,ML4_BP_1764008,10703
94,ML1_FAM_1,ML2_BP_17,ML3_BP_176008,ML4_BP_1763008,10702
95,ML1_FAM_1,ML2_BP_17,ML3_BP_176008,ML4_BP_1761008,10687
96,ML1_FAM_1,ML2_BP_17,ML3_BP_1712,ML4_BP_17121,5864
97,ML1_FAM_1,ML2_BP_17,ML3_BP_174008,ML4_BP_1741008,8500
98,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17833,6176
99,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17119|ML4_BP_52211,7229
100,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_1789,9051
101,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17864,15095
102,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17116,6120
103,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17848,6961
104,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17849,6963
105,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17866,9054
106,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_1786,7221
107,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17815,12345
108,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_1789001,13257
109,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17860,15186
110,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17840|ML4_BP_5219,7301
111,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17863,15094
112,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17862,15093
113,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_1787,7223
114,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17846,6962
115,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17834,6122
116,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17120,7228
117,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_53111,9384
118,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17841|ML4_BP_52111,7299
119,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17847,6960
120,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17832,5859
121,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_5319,9386
122,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17865,5855
123,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17839|ML4_BP_5218,7277
124,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_1788,9048
125,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17861,15306
126,ML1_FAM_1,ML2_BP_17,ML3_BP_178,ML4_BP_17842,5901
127,ML1_FAM_1,ML2_BP_17,ML3_BP_1711008,ML4_BP_17116008,8652
128,ML1_FAM_1,ML2_BP_17,ML3_BP_1711008,ML4_BP_17117008,8764
129,ML1_FAM_1,ML2_BP_17,ML3_BP_1711008,ML4_BP_17122008,8807
130,ML1_FAM_1,ML2_BP_17,ML3_BP_1711008,ML4_BP_17115008,8651
131,ML1_FAM_1,ML2_BP_17,ML3_BP_172008,ML4_BP_1726008,12453
132,ML1_FAM_1,ML2_BP_17,ML3_BP_172008,ML4_BP_1727008,8551
133,ML1_FAM_1,ML2_BP_17,ML3_BP_172008,ML4_BP_1728008,8630
134,ML1_FAM_1,ML2_BP_17,ML3_BP_1780082,ML4_BP_178008201,9195
135,ML1_FAM_1,ML2_BP_17,ML3_BP_1780082,ML4_BP_178008203,9230
136,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008104,8655
137,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008103,8640
138,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008105,8565
139,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008101,8654
140,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008106,8567
141,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008107,8566
142,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008108,17625
143,ML1_FAM_1,ML2_BP_17,ML3_BP_1780081,ML4_BP_178008102,8492
144,ML1_FAM_1,ML2_BP_17,ML3_BP_179,ML4_BP_1795,6184
145,ML1_FAM_1,ML2_BP_17,ML3_BP_179,ML4_BP_1793,12313
146,ML1_FAM_1,ML2_BP_17,ML3_BP_179,ML4_BP_1791,12357
147,ML1_FAM_1,ML2_BP_17,ML3_BP_179,ML4_BP_1792,6181
148,ML1_FAM_1,ML2_BP_17,ML3_BP_179,ML4_BP_1794,6202
149,ML1_FAM_1,ML2_BP_17,ML3_BP_179,ML4_BP_1796,6199
150,ML1_FAM_1,ML2_BP_17,ML3_BP_173008,ML4_BP_1732008,8781
151,ML1_FAM_1,ML2_BP_17,ML3_BP_1780084,ML4_BP_178008403,13522
152,ML1_FAM_1,ML2_BP_17,ML3_BP_1780084,ML4_BP_178008402,13524
153,ML1_FAM_1,ML2_BP_17,ML3_BP_1780084,ML4_BP_178008401,13521
154,ML1_FAM_1,ML2_BP_17,ML3_BP_173,ML4_BP_1732,5860
155,ML1_FAM_1,ML2_BP_17,ML3_BP_1780083,ML4_BP_178008303,8805
156,ML1_FAM_1,ML2_BP_17,ML3_BP_1780083,ML4_BP_178008301,8803
157,ML1_FAM_1,ML2_BP_17,ML3_BP_1780083,ML4_BP_178008302,8804
158,ML1_FAM_1,ML2_BP_17,ML3_BP_1780083,ML4_BP_178008304,8806
159,ML1_FAM_1,ML2_BP_17,ML3_BP_17201,ML4_BP_17103,12308
160,ML1_FAM_1,ML2_BP_17,ML3_BP_17201,ML4_BP_17104,12377
161,ML1_FAM_1,ML2_BP_17,ML3_BP_17201,ML4_BP_17102,12381
162,ML1_FAM_1,ML2_BP_17,ML3_BP_17201,ML4_BP_17105,12363
163,ML1_FAM_1,ML2_BP_17,ML3_BP_17201,ML4_BP_17101,12379
164,ML1_FAM_1,ML2_BP_17,ML3_BP_1711,ML4_BP_17115,12383
165,ML1_FAM_1,ML2_BP_17,ML3_BP_1711,ML4_BP_17118,12384
166,ML1_FAM_1,ML2_BP_17,ML3_BP_1711,ML4_BP_17117,7333
167,ML1_FAM_1,ML2_BP_17,ML3_BP_1711,ML4_BP_17122,9040
168,ML1_FAM_1,ML2_BP_17,ML3_BP_1713,ML4_BP_171301,15304
169,ML1_FAM_1,ML2_BP_17,ML3_BP_1713,ML4_BP_171302,15385
170,ML1_FAM_1,ML2_BP_17,ML3_BP_1716,ML4_BP_171604,16201
171,ML1_FAM_1,ML2_BP_17,ML3_BP_1716,ML4_BP_171603,16200
172,ML1_FAM_1,ML2_BP_17,ML3_BP_1716,ML4_BP_171605,16202
173,ML1_FAM_1,ML2_BP_17,ML3_BP_1716,ML4_BP_171601,16198
174,ML1_FAM_1,ML2_BP_17,ML3_BP_1716,ML4_BP_171602,16199
175,ML1_FAM_1,ML2_BP_17,ML3_BP_1714,ML4_BP_171412,15306
176,ML1_FAM_1,ML2_BP_17,ML3_BP_1714,ML4_BP_171414,15391
177,ML1_FAM_1,ML2_BP_17,ML3_BP_1714,ML4_BP_171411,15186
